Year,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Category,Topic,Indicator,Break_Out_Category,Break_Out,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Confidence_limit_Low,Confidence_limit_High,CategoryId,TopicId,IndicatorID,BreakOutCategoryId,BreakOutId,LocationID,GeoLocation
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,18-24,Percentage,%,0.9,,,0.8,1,C1,T1,HC101,BOC03,AGE01,0,
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Overall,Overall,Percentage,%,16.9,,,16.3,17.6,C1,T1,HC101,BOC01,OVR01,0,
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,25-44,Percentage,%,4.2,,,4,4.4,C1,T1,HC101,BOC03,AGE04,0,
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Male,Percentage,%,23.1,,,22.2,24,C1,T1,HC101,BOC02,GEN01,0,
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,75+,Percentage,%,25.7,,,25,26.3,C1,T1,HC101,BOC03,AGE08,0,
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Female,Percentage,%,13,,,12.5,13.4,C1,T1,HC101,BOC02,GEN02,0,
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,45-64,Percentage,%,19.1,,,18.3,19.8,C1,T1,HC101,BOC03,AGE05,0,
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,35+,Percentage,%,20.8,,,20.1,21.5,C1,T1,HC101,BOC03,AGE07,0,
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,65+,Percentage,%,25.8,,,25,26.5,C1,T1,HC101,BOC03,AGE06,0,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,45-64,Percentage,%,17.4,,,16.8,18.1,C1,T1,HC101,BOC03,AGE05,0,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,25-44,Percentage,%,3.9,,,3.7,4.1,C1,T1,HC101,BOC03,AGE04,0,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,75+,Percentage,%,24.5,,,24,25,C1,T1,HC101,BOC03,AGE08,0,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Overall,Overall,Percentage,%,15.7,,,15.2,16.2,C1,T1,HC101,BOC01,OVR01,0,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Female,Percentage,%,12,,,11.6,12.4,C1,T1,HC101,BOC02,GEN02,0,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,65+,Percentage,%,24.3,,,23.7,24.9,C1,T1,HC101,BOC03,AGE06,0,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Male,Percentage,%,21.4,,,20.7,22.2,C1,T1,HC101,BOC02,GEN01,0,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,35+,Percentage,%,19.4,,,18.8,20,C1,T1,HC101,BOC03,AGE07,0,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,18-24,Percentage,%,0.9,,,0.8,0.9,C1,T1,HC101,BOC03,AGE01,0,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,75+,Percentage,%,24,,,23.5,24.5,C1,T1,HC101,BOC03,AGE08,0,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,35+,Percentage,%,19.1,,,18.5,19.6,C1,T1,HC101,BOC03,AGE07,0,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Female,Percentage,%,12.1,,,11.7,12.5,C1,T1,HC101,BOC02,GEN02,0,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Overall,Overall,Percentage,%,15.6,,,15.1,16.1,C1,T1,HC101,BOC01,OVR01,0,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,65+,Percentage,%,23.7,,,23.1,24.2,C1,T1,HC101,BOC03,AGE06,0,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,25-44,Percentage,%,3.9,,,3.7,4.1,C1,T1,HC101,BOC03,AGE04,0,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,18-24,Percentage,%,0.9,,,0.9,1,C1,T1,HC101,BOC03,AGE01,0,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Male,Percentage,%,21.1,,,20.4,21.8,C1,T1,HC101,BOC02,GEN01,0,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,45-64,Percentage,%,16.9,,,16.3,17.5,C1,T1,HC101,BOC03,AGE05,0,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,75+,Percentage,%,24.3,,,23.8,24.8,C1,T1,HC101,BOC03,AGE08,0,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,18-24,Percentage,%,1,,,0.9,1.1,C1,T1,HC101,BOC03,AGE01,0,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,35+,Percentage,%,18.9,,,18.4,19.4,C1,T1,HC101,BOC03,AGE07,0,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Female,Percentage,%,12,,,11.6,12.4,C1,T1,HC101,BOC02,GEN02,0,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,65+,Percentage,%,23.8,,,23.2,24.3,C1,T1,HC101,BOC03,AGE06,0,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,45-64,Percentage,%,16.5,,,15.9,17.1,C1,T1,HC101,BOC03,AGE05,0,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Overall,Overall,Percentage,%,15.5,,,15,16,C1,T1,HC101,BOC01,OVR01,0,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,25-44,Percentage,%,3.9,,,3.7,4.1,C1,T1,HC101,BOC03,AGE04,0,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Male,Percentage,%,20.7,,,20,21.4,C1,T1,HC101,BOC02,GEN01,0,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,18-24,Percentage,%,1,,,0.9,1.1,C1,T1,HC101,BOC03,AGE01,0,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Female,Percentage,%,11.5,,,11.2,11.8,C1,T1,HC101,BOC02,GEN02,0,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Overall,Overall,Percentage,%,14.6,,,14.2,15.1,C1,T1,HC101,BOC01,OVR01,0,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,65+,Percentage,%,22.3,,,21.9,22.9,C1,T1,HC101,BOC03,AGE06,0,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,35+,Percentage,%,17.8,,,17.4,18.3,C1,T1,HC101,BOC03,AGE07,0,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,25-44,Percentage,%,3.9,,,3.7,4.1,C1,T1,HC101,BOC03,AGE04,0,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,45-64,Percentage,%,15.5,,,15.1,16,C1,T1,HC101,BOC03,AGE05,0,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,75+,Percentage,%,23,,,22.6,23.5,C1,T1,HC101,BOC03,AGE08,0,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Male,Percentage,%,19.2,,,18.7,19.9,C1,T1,HC101,BOC02,GEN01,0,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,35+,Percentage,%,17.8,,,17.4,18.2,C1,T1,HC101,BOC03,AGE07,0,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,25-44,Percentage,%,3.8,,,3.6,4,C1,T1,HC101,BOC03,AGE04,0,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,65+,Percentage,%,22.1,,,21.6,22.6,C1,T1,HC101,BOC03,AGE06,0,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,75+,Percentage,%,22.8,,,22.4,23.2,C1,T1,HC101,BOC03,AGE08,0,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Overall,Overall,Percentage,%,14.7,,,14.3,15.1,C1,T1,HC101,BOC01,OVR01,0,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,18-24,Percentage,%,1.1,,,1,1.2,C1,T1,HC101,BOC03,AGE01,0,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Female,Percentage,%,11.6,,,11.3,12,C1,T1,HC101,BOC02,GEN02,0,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Male,Percentage,%,19.3,,,18.7,19.8,C1,T1,HC101,BOC02,GEN01,0,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,45-64,Percentage,%,15.4,,,14.9,15.8,C1,T1,HC101,BOC03,AGE05,0,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,18-24,Percentage,%,1,,,1,1.1,C1,T1,HC101,BOC03,AGE01,0,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,35+,Percentage,%,18,,,17.7,18.2,C1,T1,HC101,BOC03,AGE07,0,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Overall,Overall,Percentage,%,14.7,,,14.5,14.9,C1,T1,HC101,BOC01,OVR01,0,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Female,Percentage,%,11.5,,,11.4,11.7,C1,T1,HC101,BOC02,GEN02,0,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,75+,Percentage,%,23.1,,,22.9,23.4,C1,T1,HC101,BOC03,AGE08,0,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,65+,Percentage,%,22.4,,,22.1,22.6,C1,T1,HC101,BOC03,AGE06,0,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,45-64,Percentage,%,15.5,,,15.3,15.8,C1,T1,HC101,BOC03,AGE05,0,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,25-44,Percentage,%,3.8,,,3.7,3.9,C1,T1,HC101,BOC03,AGE04,0,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Male,Percentage,%,19.4,,,19.1,19.7,C1,T1,HC101,BOC02,GEN01,0,
2013,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,35+,Percentage,%,17.9,,,17.7,18.1,C1,T1,HC101,BOC03,AGE07,0,
2013,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,75+,Percentage,%,23.1,,,22.8,23.3,C1,T1,HC101,BOC03,AGE08,0,
2013,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,65+,Percentage,%,22.2,,,21.9,22.4,C1,T1,HC101,BOC03,AGE06,0,
2013,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Male,Percentage,%,19.4,,,19.1,19.7,C1,T1,HC101,BOC02,GEN01,0,
2013,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Female,Percentage,%,11.4,,,11.3,11.6,C1,T1,HC101,BOC02,GEN02,0,
2013,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,25-44,Percentage,%,3.8,,,3.7,3.9,C1,T1,HC101,BOC03,AGE04,0,
2013,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Overall,Overall,Percentage,%,14.7,,,14.5,14.9,C1,T1,HC101,BOC01,OVR01,0,
2013,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,45-64,Percentage,%,15.5,,,15.3,15.8,C1,T1,HC101,BOC03,AGE05,0,
2013,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,18-24,Percentage,%,1,,,1,1.1,C1,T1,HC101,BOC03,AGE01,0,
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of in-hospital mortality among major cardiovascular disease hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,65+,Percentage,%,4.9,,,4.8,5.1,C1,T1,HC103,BOC03,AGE06,0,
